id,review,term,aspect,sentiment,term_from,term_to
1195,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",appetizer menu,FOOD#QUALITY,positive,44,58
1196,Everything about this restaurant was special.,restaurant,RESTAURANT#GENERAL,positive,22,32
1197,"The service was attentive, yet discreet.",service,SERVICE#GENERAL,positive,4,11
1198,The flavors robust and subtle.,NULL,FOOD#QUALITY,positive,0,0
1199,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,brioche and lollies,FOOD#QUALITY,positive,4,23
1200,I'm saving up for my next visit.,NULL,RESTAURANT#GENERAL,positive,0,0
1201,The place was quiet and delightful.,place,AMBIENCE#GENERAL,positive,4,9
1202,Service was good and food is wonderful.,Service,SERVICE#GENERAL,positive,0,7
1203,Service was good and food is wonderful.,food,FOOD#QUALITY,positive,21,25
1204,I did not try the caviar but I tried their salmon and crab salad (they are all good)  ,salmon,FOOD#QUALITY,positive,43,49
1205,I did not try the caviar but I tried their salmon and crab salad (they are all good)  ,crab salad,FOOD#QUALITY,positive,54,64
1206,It is definitely a good spot for snacks and chat.,spot,RESTAURANT#GENERAL,positive,24,28
1207,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",Lucky Strike,RESTAURANT#GENERAL,positive,85,97
1208,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,SERVICE#GENERAL,positive,4,14
1209,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food,FOOD#QUALITY,positive,4,8
1210,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",mussels in spicy tomato sauce,FOOD#QUALITY,positive,57,86
1211,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",fries,FOOD#QUALITY,positive,115,120
1212,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",late night atmosphere,AMBIENCE#GENERAL,positive,34,55
1213,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",martini,DRINKS#QUALITY,positive,32,39
1214,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",martini,DRINKS#STYLE_OPTIONS,positive,32,39
1215,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",martini,DRINKS#PRICES,positive,32,39
1216,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",Vanilla Shanty,DRINKS#QUALITY,positive,106,120
1217,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",setting,AMBIENCE#GENERAL,positive,146,153
1218,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",music,AMBIENCE#GENERAL,positive,165,170
1219,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",in-house lady DJ,AMBIENCE#GENERAL,positive,4,20
1220,You can't go wrong with this place.,place,RESTAURANT#GENERAL,positive,29,34
1221,Suan is a great place that I often take my friends (classmates) too.,Suan,RESTAURANT#GENERAL,positive,0,4
1222,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",location,LOCATION#GENERAL,positive,4,12
1223,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",Suan,RESTAURANT#PRICES,positive,126,130
1224,I LOVE their Thai,Thai,FOOD#QUALITY,positive,13,17
1225,noodles with shrimp and chicken and coconut juice is the MUST!,noodles with shrimp and chicken and coconut juice,FOOD#QUALITY,positive,0,49
1226,I will go back to Suan soon!,Suan,RESTAURANT#GENERAL,positive,18,22
1227,In summer-eat outside on a terrace (another great feature of Suan)!!!,terrace,AMBIENCE#GENERAL,positive,27,34
1228,I cannot imagine a friendlier staff working in a restaurant.,staff,SERVICE#GENERAL,positive,30,35
1229,I cannot imagine better Indian food in all of the city.,Indian food,FOOD#QUALITY,positive,24,35
1230,I cannot imagine you not rushing out to eat there.,NULL,RESTAURANT#GENERAL,positive,0,0
1231,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",chef,FOOD#QUALITY,negative,44,48
1232,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",staff,SERVICE#GENERAL,negative,53,58
1233,I wish they would change back to what it was before.,NULL,RESTAURANT#GENERAL,negative,0,0
1234,The food now is inconsistent.,food,FOOD#QUALITY,negative,4,8
1235,This is the kind of place you'd like to take all your friends to and still keep a secret.,place,RESTAURANT#MISCELLANEOUS,positive,20,25
1236,The setting is casual and romantic.,setting,AMBIENCE#GENERAL,positive,4,11
1237,Prices are very good.,NULL,RESTAURANT#PRICES,positive,0,0
1238,The food is excellent! ,food,FOOD#QUALITY,positive,4,8
1239,"if you're daring, try the balsamic vinegar over icecream, it's wonderful!",balsamic vinegar over icecream,FOOD#QUALITY,positive,26,56
1240,"Do not get the Go Go Hamburgers, no matter what the reviews say.",Go Go Hamburgers,FOOD#QUALITY,negative,15,31
1241,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,NULL,FOOD#QUALITY,negative,0,0
1242,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,NULL,FOOD#STYLE_OPTIONS,negative,0,0
1243,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,NULL,FOOD#PRICES,negative,0,0
1244,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum,FOOD#PRICES,negative,16,23
1245,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum,FOOD#QUALITY,positive,16,23
1246,Steamed fresh so brought hot hot hot to your table.,NULL,FOOD#QUALITY,positive,0,0
1247,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",wait,SERVICE#GENERAL,negative,4,8
1248,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",atmosphere,AMBIENCE#GENERAL,negative,106,116
1249,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
1250,"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,FOOD#QUALITY,negative,21,32
1251,"A few tips: skip the turnip cake, roast pork buns and egg custards.",roast pork buns,FOOD#QUALITY,negative,34,49
1252,"A few tips: skip the turnip cake, roast pork buns and egg custards.",egg custards,FOOD#QUALITY,negative,54,66
1253,These are overpriced and you can get better just around the corner:,NULL,FOOD#PRICES,negative,0,0
1254,These are overpriced and you can get better just around the corner:,NULL,FOOD#QUALITY,negative,0,0
1255,I was pleasantly suprised.,NULL,RESTAURANT#GENERAL,positive,0,0
1256,The food was exceptional.,food,FOOD#QUALITY,positive,4,8
1257,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",braised lamb shank in red wine,FOOD#QUALITY,positive,44,74
1258,The service was friendly and the atmosphere was casual.,service,SERVICE#GENERAL,positive,4,11
1259,The service was friendly and the atmosphere was casual.,atmosphere,AMBIENCE#GENERAL,neutral,33,43
1260,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,FOOD#QUALITY,positive,111,115
1261,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,restaurant,AMBIENCE#GENERAL,neutral,4,14
1262,this little place has a cute interior decor and affordable city prices.,interior decor,AMBIENCE#GENERAL,positive,29,43
1263,this little place has a cute interior decor and affordable city prices.,place,RESTAURANT#PRICES,positive,12,17
1264,"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad se ew chicken,FOOD#QUALITY,positive,4,21
1265,"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad thai,FOOD#QUALITY,negative,49,57
1266,"Have eaten at Ginger House several times, and it's always good.",Ginger House,RESTAURANT#GENERAL,positive,14,26
1267,The fried dumplings are GREAT!,fried dumplings,FOOD#QUALITY,positive,4,19
1268,Finally a reliable Chinese restaurant!,Chinese restaurant,RESTAURANT#GENERAL,positive,19,37
1269,This place would be so much better served by being run by a group that actually understands customer service.,customer service,SERVICE#GENERAL,negative,92,108
1270,"The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.",NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
1271,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",NULL,SERVICE#GENERAL,negative,0,0
1272,"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",NULL,SERVICE#GENERAL,negative,0,0
1273,"Terrible, terrible management - deserves to be shut-down.",management,SERVICE#GENERAL,negative,19,29
1274,"Terrible, terrible management - deserves to be shut-down.",NULL,RESTAURANT#GENERAL,negative,0,0
1275,Never fails to please.,NULL,RESTAURANT#GENERAL,positive,0,0
1276,"delicious bagels, especially when right out of the oven.",bagels,FOOD#QUALITY,positive,10,16
1277,Spreads and toppings are great - though a bit pricey.,Spreads,FOOD#QUALITY,positive,0,7
1278,Spreads and toppings are great - though a bit pricey.,toppings,FOOD#QUALITY,positive,12,20
1279,Spreads and toppings are great - though a bit pricey.,Spreads,FOOD#PRICES,negative,0,7
1280,Spreads and toppings are great - though a bit pricey.,toppings,FOOD#PRICES,negative,12,20
1281,Service is fast and friendly.,Service,SERVICE#GENERAL,positive,0,7
1282,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",NULL,SERVICE#GENERAL,negative,0,0
1283,But that is highly forgivable.,NULL,SERVICE#GENERAL,positive,0,0
1284,"Been there, done that, and New York, it's not that big a deal.",NULL,RESTAURANT#GENERAL,neutral,0,0
1285,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",food,FOOD#QUALITY,negative,4,8
1286,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",ambience,AMBIENCE#GENERAL,negative,36,44
1287,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
1288,"Rao is a good restaurant, but it's nothing special.",Rao,RESTAURANT#GENERAL,neutral,0,3
1289,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",indian cuisine,FOOD#QUALITY,positive,63,77
1290,You must try the shrimp appetizers.,shrimp appetizers,FOOD#QUALITY,positive,17,34
1291,Even my Indian friend couldn't believe how good and tasty everything was.,NULL,FOOD#QUALITY,positive,0,0
1292,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,ambience,AMBIENCE#GENERAL,positive,31,39
1293,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,staff,SERVICE#GENERAL,positive,57,62
1294,"Great food, great prices, great service.",food,FOOD#QUALITY,positive,6,10
1295,"Great food, great prices, great service.",NULL,RESTAURANT#PRICES,positive,0,0
1296,"Great food, great prices, great service.",service,SERVICE#GENERAL,positive,32,39
1297,"If you are looking for a good quality, cheap eats - this is the place.",eats,FOOD#QUALITY,positive,45,49
1298,"If you are looking for a good quality, cheap eats - this is the place.",eats,FOOD#PRICES,positive,45,49
1299,it's a perfect place to have a amanzing indian food.,indian food,FOOD#QUALITY,positive,40,51
1300,I really loved the different and inovated touch that's the cheff gives to the food.,cheff,FOOD#STYLE_OPTIONS,positive,59,64
1301,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",place,AMBIENCE#GENERAL,positive,66,71
1302,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",service,SERVICE#GENERAL,positive,77,84
1303,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",bagels,FOOD#QUALITY,negative,6,12
1304,Great bagels made the old-fashioned way.,bagels,FOOD#QUALITY,positive,6,12
1305,Great bagels made the old-fashioned way.,bagels,FOOD#STYLE_OPTIONS,positive,6,12
1306,Drawbacks: service is slow and they don't toast!,service,SERVICE#GENERAL,negative,11,18
1307,The food was absolutely amazing!!,food,FOOD#QUALITY,positive,4,8
1308,The baked clams octopus we shared as appetizers were the best we've ever had!! ,baked clams octopus,FOOD#QUALITY,positive,4,23
1309,"The lamb was tender so full of flavor, the dessert was divine!!",lamb,FOOD#QUALITY,positive,4,8
1310,"The lamb was tender so full of flavor, the dessert was divine!!",dessert,FOOD#QUALITY,positive,43,50
1311,The waiter was attentive.,waiter,SERVICE#GENERAL,positive,4,10
1312,The place itself is beautiful the bar scene seems to be happening.,place,AMBIENCE#GENERAL,positive,4,9
1313,The place itself is beautiful the bar scene seems to be happening.,bar scene,AMBIENCE#GENERAL,positive,34,43
1314,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",Appetizers,FOOD#QUALITY,neutral,34,44
1315,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",waiter,SERVICE#GENERAL,negative,54,60
1316,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",potato stuff kanish,FOOD#QUALITY,positive,94,113
1317,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,FOOD#QUALITY,negative,38,44
1318,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",chicken,FOOD#QUALITY,positive,78,85
1319,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings for main entree,FOOD#STYLE_OPTIONS,negative,6,30
1320,Dessert is a joke...dont bother,Dessert,FOOD#QUALITY,negative,0,7
1321,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service,SERVICE#GENERAL,positive,112,119
1322,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",feel,AMBIENCE#GENERAL,positive,28,32
1323,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",portions,FOOD#STYLE_OPTIONS,positive,63,71
1324,"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",veal,FOOD#STYLE_OPTIONS,positive,96,100
1325,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,FOOD#QUALITY,positive,4,14
1326,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,FOOD#QUALITY,positive,45,53
1327,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",pasta mains,FOOD#QUALITY,positive,75,86
1328,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",pasta mains,FOOD#STYLE_OPTIONS,positive,75,86
1329,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,wine list,DRINKS#STYLE_OPTIONS,positive,4,13
1330,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,meal,FOOD#PRICES,positive,81,85
1331,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",NULL,RESTAURANT#PRICES,neutral,0,0
1332,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,DRINKS#STYLE_OPTIONS,positive,69,88
1333,Fantastic place.,place,RESTAURANT#GENERAL,positive,10,15
1334,Cute and decorative.,NULL,AMBIENCE#GENERAL,positive,0,0
1335,A pleasant surprise.,NULL,RESTAURANT#GENERAL,positive,0,0
1336,Go there to relax and feel like your somewhere else.,NULL,AMBIENCE#GENERAL,positive,0,0
1337,Lucky Strike is a great casual place to just grab a bite to eat.,Lucky Strike,RESTAURANT#GENERAL,positive,0,12
1338,"Great food, great decor, great service.",food,FOOD#QUALITY,positive,6,10
1339,"Great food, great decor, great service.",decor,AMBIENCE#GENERAL,positive,18,23
1340,"Great food, great decor, great service.",service,SERVICE#GENERAL,positive,31,38
1341,I recommend it!,NULL,RESTAURANT#GENERAL,positive,0,0
1342,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",spot,RESTAURANT#MISCELLANEOUS,positive,20,24
1343,(Always ask the bartender for the SEASONAL beer!!!,SEASONAL beer,DRINKS#QUALITY,positive,34,47
1344,Guaranteed to be a tasty experience!),NULL,DRINKS#QUALITY,positive,0,0
1345,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,spot,RESTAURANT#MISCELLANEOUS,positive,10,14
1346,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,Heartland Brewery,RESTAURANT#GENERAL,positive,42,59
1347,All the people that I bring there go back on their own and bring THEIR friends!,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1348,Go there once and oh yes...you will go back...you will...,NULL,RESTAURANT#GENERAL,positive,0,0
1349,What a great place!,place,RESTAURANT#GENERAL,positive,13,18
1350,Not the typical NYC gimmick theme restaurant.,restaurant,AMBIENCE#GENERAL,positive,34,44
1351,"A cool bar with great food, and tons of excellent beer.",bar,AMBIENCE#GENERAL,positive,7,10
1352,"A cool bar with great food, and tons of excellent beer.",food,FOOD#QUALITY,positive,22,26
1353,"A cool bar with great food, and tons of excellent beer.",beer,DRINKS#QUALITY,positive,50,54
1354,"A cool bar with great food, and tons of excellent beer.",beer,DRINKS#STYLE_OPTIONS,positive,50,54
1355,And even with it's Pub atmosphere they were great to my kids too!,NULL,SERVICE#GENERAL,positive,0,0
1356,Loved it!,NULL,RESTAURANT#GENERAL,positive,0,0
1357,The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi,FOOD#QUALITY,positive,4,17
1358,The shrimp scampi was excellent and the antipasti were plentiful.,antipasti,FOOD#STYLE_OPTIONS,positive,40,49
1359,It is expensive but well worth the money.,NULL,RESTAURANT#PRICES,negative,0,0
1360,It is expensive but well worth the money.,NULL,RESTAURANT#GENERAL,positive,0,0
1361,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",Corona,RESTAURANT#GENERAL,positive,103,109
1362,The only thing more wonderful than the food (which is exceptional) is the service.,food,FOOD#QUALITY,positive,39,43
1363,The only thing more wonderful than the food (which is exceptional) is the service.,service,SERVICE#GENERAL,positive,74,81
1364,The only thing the waiters don't do for you is wipe your chin when you leave.,waiters,SERVICE#GENERAL,positive,19,26
1365,Wonderful at holiday time.,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1366,Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,AMBIENCE#GENERAL,positive,14,25
1367,Service was very prompt but slightly rushed.,Service,SERVICE#GENERAL,positive,0,7
1368,Service was very prompt but slightly rushed.,Service,SERVICE#GENERAL,negative,0,7
1369,"Food was very good, but not what I would consider out of this world.",Food,FOOD#QUALITY,neutral,0,4
1370,Go here for a romantic dinner but not for an all out wow dining experience.,NULL,AMBIENCE#GENERAL,positive,0,0
1371,Go here for a romantic dinner but not for an all out wow dining experience.,NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
1372,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1373,Too bad the food wasn't of the same heritage.,food,FOOD#QUALITY,negative,12,16
1374,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",porcini mushroom pasta special,FOOD#QUALITY,negative,4,34
1375,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",seafood tagliatelle,FOOD#QUALITY,negative,61,80
1376,A real dissapointment.,NULL,FOOD#QUALITY,negative,0,0
1377,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,tiramisu,FOOD#QUALITY,negative,41,49
1378,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,NULL,FOOD#QUALITY,negative,0,0
1379,Priced at upper intermediate range.,NULL,RESTAURANT#PRICES,negative,0,0
1380,I really liked this place.,place,RESTAURANT#GENERAL,positive,20,25
1381,"Everything I had was good, and I'm a eater.",NULL,FOOD#QUALITY,positive,0,0
1382,It was pretty inexpensive too.,NULL,RESTAURANT#PRICES,positive,0,0
1383,This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,FOOD#QUALITY,positive,38,46
1384,This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,FOOD#STYLE_OPTIONS,positive,38,46
1385,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,FOOD#QUALITY,positive,21,32
1386,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),FOOD#QUALITY,positive,63,85
1387,It's great to go for a quick lunch either alone or with a friend.,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1388,It's definately not a place to go if you want to impress someone.,place,RESTAURANT#MISCELLANEOUS,negative,22,27
1389,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,FOOD#QUALITY,positive,27,31
1390,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",decor,AMBIENCE#GENERAL,neutral,68,73
1391,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,FOOD#PRICES,positive,27,31
1392,Quick and friendly service.,service,SERVICE#GENERAL,positive,19,26
1393,This is one of the best comfort food places in the city.,NULL,RESTAURANT#GENERAL,positive,0,0
1394,It's somewhere you can eat and be happy.,NULL,RESTAURANT#GENERAL,positive,0,0
1395,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",main dining room,AMBIENCE#GENERAL,positive,29,45
1396,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ceiling,AMBIENCE#GENERAL,positive,90,97
1397,"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,FOOD#QUALITY,positive,4,8
1398,"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,FOOD#STYLE_OPTIONS,positive,4,8
1399,"The food is wonderful, tasty and filling, and the service is professional and friendly.",service,SERVICE#GENERAL,positive,50,57
1400,"I can't wait for summer, when they serve outside on their gigantic patio.",patio,AMBIENCE#GENERAL,positive,67,72
1401,I recently tried Suan and I thought that it was great.,Suan,RESTAURANT#GENERAL,positive,17,21
1402,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,food,FOOD#STYLE_OPTIONS,positive,80,84
1403,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,place,RESTAURANT#GENERAL,positive,12,17
1404,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,food,FOOD#PRICES,positive,80,84
1405,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,service,SERVICE#GENERAL,positive,4,11
1406,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,FOOD#QUALITY,positive,42,46
1407,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,hot sauce,FOOD#QUALITY,positive,84,93
1408,I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,NULL,RESTAURANT#GENERAL,positive,0,0
1409,They all know you.,NULL,SERVICE#GENERAL,positive,0,0
1410,Good food.,food,FOOD#QUALITY,positive,5,9
1411,Good drink.,drink,DRINKS#QUALITY,positive,5,10
1412,How do you rate home?,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1413,I have never had cheescake like this.,cheescake,FOOD#QUALITY,positive,17,26
1414,I thought I had died and gone to heaven.,NULL,FOOD#QUALITY,positive,0,0
1415,"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,RESTAURANT#GENERAL,positive,6,10
1416,"Great spot, whether looking for a couple of drinks or quiet dinner.",spot,RESTAURANT#MISCELLANEOUS,positive,6,10
1417,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,NULL,AMBIENCE#GENERAL,positive,0,0
1418,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,outdoor seating,AMBIENCE#GENERAL,positive,45,60
1419,The food is great and they have a good selecion of wines at reasonable prices.,food,FOOD#QUALITY,positive,4,8
1420,The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,DRINKS#STYLE_OPTIONS,positive,39,56
1421,The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,DRINKS#PRICES,positive,39,56
1422,Have been several times and it never dissapoints.,NULL,RESTAURANT#GENERAL,positive,0,0
1423,We were less than impressed.,NULL,RESTAURANT#GENERAL,negative,0,0
1424,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,AMBIENCE#GENERAL,positive,10,18
1425,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,AMBIENCE#GENERAL,positive,23,33
1426,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,FOOD#QUALITY,negative,50,54
1427,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,SERVICE#GENERAL,negative,59,66
1428,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,FOOD#QUALITY,negative,15,32
1429,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,FOOD#STYLE_OPTIONS,negative,15,32
1430,Probably would not go again...,NULL,RESTAURANT#GENERAL,negative,0,0
1431,"i've been to sapphire twice and both times the food was fine, if not good.",food,FOOD#QUALITY,positive,47,51
1432,"stick with the chicken, beef, and lamb dishes.",chicken,FOOD#QUALITY,positive,15,22
1433,"stick with the chicken, beef, and lamb dishes.",beef,FOOD#QUALITY,positive,24,28
1434,"stick with the chicken, beef, and lamb dishes.",lamb dishes,FOOD#QUALITY,positive,34,45
1435,"service is friendly, and never had a problem walking in and getting a table.",service,SERVICE#GENERAL,positive,0,7
1436,"service is friendly, and never had a problem walking in and getting a table.",NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
1437,skip dessert.,dessert,FOOD#QUALITY,negative,5,12
1438,Best Reuben sandwich ever!,Reuben sandwich,FOOD#QUALITY,positive,5,20
1439,A classic!,NULL,FOOD#QUALITY,positive,0,0
1440,Don't miss Bloom's on your next trip to Manhatten.,Bloom's,RESTAURANT#GENERAL,positive,11,18
1441,"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",place,RESTAURANT#MISCELLANEOUS,positive,85,90
1442,Thanks Bloom's for a lovely trip.,Bloom's,RESTAURANT#GENERAL,positive,7,14
1443,"The food was not fresh, the sauces were bland and very oily.",food,FOOD#QUALITY,negative,4,8
1444,"The food was not fresh, the sauces were bland and very oily.",sauces,FOOD#QUALITY,negative,28,34
1445,It just wasn't Thai.,NULL,FOOD#QUALITY,negative,0,0
1446,Was surprisingly disappointed.,NULL,FOOD#QUALITY,negative,0,0
1447,Pizza was a little soggy.,Pizza,FOOD#QUALITY,negative,0,5
1448,Ravioli was good...but I have to say that I found everything a bit overpriced.,Ravioli,FOOD#QUALITY,positive,0,7
1449,Ravioli was good...but I have to say that I found everything a bit overpriced.,NULL,FOOD#PRICES,negative,0,0
1450,Not enough wines by the glass either.,wines by the glass,DRINKS#STYLE_OPTIONS,negative,11,29
1451,"Service, however, was excellent...and I liked the setting/atmosphere a lot. ",Service,SERVICE#GENERAL,positive,0,7
1452,"Service, however, was excellent...and I liked the setting/atmosphere a lot. ",setting/atmosphere,AMBIENCE#GENERAL,positive,50,68
1453,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",Food,FOOD#QUALITY,neutral,0,4
